Exam Date,Roll No.,Phy,Chem,Bot,Zoo,Total,%,Rank
2/7/2017,13492,A,A,A,A,0,0.00,-
2/7/2017,13425,A,A,A,A,0,0.00,-
2/7/2017,13526,A,A,A,A,0,0.00,-
2/7/2017,13477,A,A,A,A,0,0.00,-
2/7/2017,13413,A,A,A,A,0,0.00,-
2/7/2017,13491,A,A,A,A,0,0.00,-
2/7/2017,13441,A,A,A,A,0,0.00,-
2/7/2017,13446,A,A,A,A,0,0.00,-
2/7/2017,13488,A,A,A,A,0,0.00,-
2/7/2017,13498,A,A,A,A,0,0.00,-
2/7/2017,13459,A,A,A,A,0,0.00,-
2/7/2017,13443,A,A,A,A,0,0.00,-
2/7/2017,13408,A,A,A,A,0,0.00,-
2/7/2017,13507,A,A,A,A,0,0.00,-
2/7/2017,13456,A,A,A,A,0,0.00,-
2/7/2017,13504,A,A,A,A,0,0.00,-
2/7/2017,13520,A,A,A,A,0,0.00,-
2/7/2017,13401,A,A,A,A,0,0.00,-
2/7/2017,13517,A,A,A,A,0,0.00,-
2/7/2017,13805,A,A,A,A,0,0.00,-
2/7/2017,13667,A,A,A,A,0,0.00,-
2/7/2017,13649,A,A,A,A,0,0.00,-
2/7/2017,13647,A,A,A,A,0,0.00,-
2/7/2017,13652,A,A,A,A,0,0.00,-
2/7/2017,13801,A,A,A,A,0,0.00,-
2/7/2017,13626,A,A,A,A,0,0.00,-
2/7/2017,13633,A,A,A,A,0,0.00,-
2/7/2017,13638,A,A,A,A,0,0.00,-
2/7/2017,13811,A,A,A,A,0,0.00,-
2/7/2017,13612,A,A,A,A,0,0.00,-
2/7/2017,13651,A,A,A,A,0,0.00,-
2/7/2017,13636,A,A,A,A,0,0.00,-
2/7/2017,13618,A,A,A,A,0,0.00,-
2/7/2017,13657,A,A,A,A,0,0.00,-
2/7/2017,13624,A,A,A,A,0,0.00,-
2/7/2017,13613,A,A,A,A,0,0.00,-
2/7/2017,13632,A,A,A,A,0,0.00,-
2/7/2017,13621,A,A,A,A,0,0.00,-
