Exam Date,Roll No.,Phy,Chem,Bot,Zoo,Total,%,Rank
2/7/2017,13448,21,60,59,57,197,28.30,444
2/7/2017,13025,39,50,48,65,202,28.21,445
2/7/2017,13462,31,36,72,55,194,27.87,446
2/7/2017,13816,42,17,40,100,199,27.79,447
2/7/2017,13067,36,28,49,85,198,27.65,448
2/7/2017,13467,6,54,67,64,191,27.44,449
2/7/2017,13622,57,29,43,66,195,27.23,450
2/7/2017,13615,46,19,44,85,194,27.09,451
2/7/2017,13043,39,77,26,51,193,26.96,452
2/7/2017,13458,32,32,57,66,187,26.87,453
2/7/2017,13501,3,39,61,82,185,26.58,454
2/7/2017,13040,29,37,46,78,190,26.54,455
2/7/2017,13216,29,16,83,62,190,26.54,456
2/7/2017,13097,9,37,66,76,188,26.26,457
2/7/2017,13605,25,12,70,79,186,25.98,458
2/7/2017,13055,10,37,48,90,185,25.84,459
2/7/2017,13460,-2,36,68,77,179,25.72,460
2/7/2017,19003,6,26,48,103,183,25.56,461
2/7/2017,13041,26,64,18,74,182,25.42,462
2/7/2017,13061,35,46,42,58,181,25.28,463
2/7/2017,13673,24,32,51,72,179,25.00,464
2/7/2017,13433,10,39,44,76,169,24.28,465
2/7/2017,12105,24,29,62,58,173,24.16,466
2/7/2017,13056,41,31,62,39,173,24.16,467
2/7/2017,13665,24,37,41,70,172,24.02,468
2/7/2017,13225,39,40,39,54,172,24.02,469
2/7/2017,13694,25,39,36,69,169,23.60,470
2/7/2017,13693,47,22,26,73,168,23.46,471
2/7/2017,13620,9,28,61,64,162,22.63,472
2/7/2017,13711,12,43,49,54,158,22.07,473
2/7/2017,13684,15,6,40,96,157,21.93,474
2/7/2017,13664,57,27,36,36,156,21.79,475
2/7/2017,13270,-1,34,48,74,155,21.65,476
2/7/2017,13232,-1,48,37,70,154,21.51,477
2/7/2017,13616,6,32,56,58,152,21.23,478
2/7/2017,13662,12,52,23,60,147,20.53,479
2/7/2017,13610,22,19,41,60,142,20.40,480
2/7/2017,13283,16,30,26,71,143,19.97,481
2/7/2017,13079,13,49,32,49,143,19.97,482
2/7/2017,13229,5,31,49,57,142,19.83,483
2/7/2017,13111,17,21,48,53,139,19.41,484
2/7/2017,13854,-1,13,46,80,138,19.27,485
2/7/2017,13007,23,5,59,51,138,19.27,486
2/7/2017,13476,-2,23,62,51,134,19.25,487
2/7/2017,13302,10,57,29,41,137,19.13,488
2/7/2017,13606,27,26,3,72,128,17.88,489
2/7/2017,13310,18,26,15,68,127,17.74,490
2/7/2017,13608,5,25,40,53,123,17.18,491
2/7/2017,13679,11,17,41,53,122,17.04,492
2/7/2017,13228,6,26,27,61,120,16.76,493
2/7/2017,13669,4,17,41,58,120,16.76,494
2/7/2017,13331,11,27,47,33,118,16.48,495
2/7/2017,13855,5,25,56,29,115,16.06,496
2/7/2017,13687,54,2,26,29,111,15.50,497
2/7/2017,13706,15,48,22,24,109,15.22,498
2/7/2017,13614,14,14,16,59,103,14.39,499
2/7/2017,13087,18,26,29,30,103,14.39,500
2/7/2017,13329,8,30,38,27,103,14.39,501
2/7/2017,13328,20,27,3,51,101,14.11,502
2/7/2017,13710,25,21,29,26,101,14.11,503
2/7/2017,13243,8,23,24,37,92,12.85,504
2/7/2017,13208,-9,24,21,55,91,12.71,505
2/7/2017,13709,-2,1,29,62,90,12.57,506
2/7/2017,13683,11,13,25,36,85,11.87,507
2/7/2017,13035,17,10,23,32,82,11.45,508
2/7/2017,13429,18,5,31,18,72,10.34,509
2/7/2017,13315,-5,4,5,56,60,8.38,510
2/7/2017,13707,21,8,12,16,57,7.96,511
2/7/2017,13065,A,A,A,A,0,0.00,-
2/7/2017,13023,A,A,A,A,0,0.00,-
2/7/2017,13076,A,A,A,A,0,0.00,-
2/7/2017,13046,A,A,A,A,0,0.00,-
2/7/2017,13071,A,A,A,A,0,0.00,-
2/7/2017,13093,A,A,A,A,0,0.00,-
2/7/2017,13052,A,A,A,A,0,0.00,-
2/7/2017,13009,A,A,A,A,0,0.00,-
2/7/2017,13017,A,A,A,A,0,0.00,-
2/7/2017,13050,A,A,A,A,0,0.00,-
2/7/2017,13049,A,A,A,A,0,0.00,-
2/7/2017,13038,A,A,A,A,0,0.00,-
2/7/2017,13021,A,A,A,A,0,0.00,-
2/7/2017,13045,A,A,A,A,0,0.00,-
2/7/2017,13032,A,A,A,A,0,0.00,-
2/7/2017,13058,A,A,A,A,0,0.00,-
2/7/2017,13054,A,A,A,A,0,0.00,-
2/7/2017,13064,A,A,A,A,0,0.00,-
2/7/2017,13287,A,A,A,A,0,0.00,-
2/7/2017,13297,A,A,A,A,0,0.00,-
2/7/2017,13321,A,A,A,A,0,0.00,-
2/7/2017,13201,A,A,A,A,0,0.00,-
2/7/2017,13237,A,A,A,A,0,0.00,-
2/7/2017,13273,A,A,A,A,0,0.00,-
2/7/2017,13226,A,A,A,A,0,0.00,-
2/7/2017,13258,A,A,A,A,0,0.00,-
2/7/2017,13268,A,A,A,A,0,0.00,-
2/7/2017,13231,A,A,A,A,0,0.00,-
2/7/2017,13209,A,A,A,A,0,0.00,-
2/7/2017,13282,A,A,A,A,0,0.00,-
2/7/2017,13304,A,A,A,A,0,0.00,-
2/7/2017,13255,A,A,A,A,0,0.00,-
2/7/2017,13308,A,A,A,A,0,0.00,-
2/7/2017,13324,A,A,A,A,0,0.00,-
2/7/2017,13269,A,A,A,A,0,0.00,-
2/7/2017,13325,A,A,A,A,0,0.00,-
2/7/2017,13244,A,A,A,A,0,0.00,-
2/7/2017,13497,A,A,A,A,0,0.00,-
